date,presentprice,open,highprice,lowprice,change%
20160714,"1,132.55","1,144.87","1,148.81","1,129.19",-1.16
20160713,"1,145.87","1,142.29","1,148.82","1,140.69",0.19
20160712,"1,143.64","1,149.98","1,153.95","1,140.69",-0.64
20160711,"1,150.98","1,148.75","1,152.30","1,144.41",0.1
20160708,"1,149.80","1,157.25","1,163.30","1,146.59",-0.73
20160707,"1,158.25","1,158.45","1,162.40","1,151.49",-0.1
20160706,"1,159.45","1,158.05","1,169.90","1,155.29",0.03
20160705,"1,159.05","1,150.79","1,159.75","1,148.97",0.6
20160704,"1,152.14","1,150.75","1,153.95","1,144.07",0.19
20160701,"1,150.00","1,150.99","1,154.40","1,142.89",-0.2
20160630,"1,152.35","1,153.32","1,158.18","1,145.97",-0.17
20160629,"1,154.32","1,166.07","1,171.50","1,151.89",-1.09
20160628,"1,167.07","1,179.19","1,186.20","1,165.26",-1.14
20160627,"1,180.55","1,171.26","1,189.65","1,171.24",0.73
20160624,"1,171.95","1,140.75","1,181.10","1,139.67",2.65
20160623,"1,141.75","1,148.28","1,153.70","1,140.09",-0.66
20160622,"1,149.28","1,152.19","1,158.40","1,145.09",-0.37
20160621,"1,153.55","1,158.59","1,163.76","1,149.89",-0.55
20160620,"1,159.89","1,169.25","1,170.72","1,154.54",-0.9
20160617,"1,170.46","1,171.65","1,177.90","1,166.20",-0.19
20160616,"1,172.65","1,167.79","1,179.37","1,166.52",0.3
20160615,"1,169.14","1,175.35","1,181.15","1,164.89",-0.61
20160614,"1,176.35","1,171.44","1,182.20","1,169.61",0.33
20160613,"1,172.44","1,170.10","1,175.97","1,167.22",0.08
20160610,"1,171.53","1,157.99","1,172.95","1,156.59",1.05
20160609,"1,159.35","1,153.25","1,162.81","1,150.47",0.44
20160608,"1,154.25","1,154.99","1,159.65","1,149.89",-0.18
20160607,"1,156.30","1,161.69","1,167.01","1,152.19",-0.58
20160606,"1,162.99","1,163.90","1,168.86","1,159.89",-0.05
20160603,"1,163.55","1,185.81","1,190.56","1,161.99",-1.96
20160602,"1,186.81","1,191.37","1,194.96","1,184.38",-0.47
20160601,"1,192.37","1,188.39","1,196.40","1,187.25",0.22
20160531,"1,189.74","1,188.90","1,194.55","1,186.85",-0.31
20160530,"1,193.39","1,185.94","1,193.81","1,185.25",0.6
20160527,"1,186.25","1,178.69","1,187.50","1,176.39",0.53
20160526,"1,180.05","1,180.49","1,186.06","1,172.89",-0.15
20160525,"1,181.85","1,186.89","1,191.65","1,178.69",-0.54
20160524,"1,188.24","1,181.89","1,195.22","1,181.19",0.42
20160523,"1,183.24","1,189.95","1,191.32","1,180.80",-0.25
20160520,"1,186.20","1,186.48","1,192.85","1,184.47",-0.11
20160519,"1,187.48","1,188.19","1,193.30","1,185.89",-0.17
20160518,"1,189.55","1,176.24","1,193.54","1,173.79",1.05
20160517,"1,177.24","1,177.20","1,179.18","1,170.39",-0.08
20160516,"1,178.20","1,175.65","1,181.30","1,174.29",0.12
20160513,"1,176.80","1,169.19","1,181.03","1,164.80",0.55
20160512,"1,170.35","1,164.19","1,171.46","1,160.73",0.41
