AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
수박	"47,193"	"183,725"	2016년07월						
양파	"39,646,776.10"	"17,189,689"	2016년07월						
배추	"53,772"	"25,766"	2017년07월						
양배추	"8,760,940.70"	"3,310,496"	2017년07월						
수박	"61,888.10"	"234,240"	2017년07월						
양파	"57,191,307.25"	"18,059,489"	2017년07월						
배추	"73,951"	"25,092"	2016년08월						
양배추	"2,382,730.20"	"999,826"	2016년08월						
수박	"85,485"	"269,992"	2016년08월						
양파	"40,904,921.10"	"17,661,174"	2016년08월						
배추	0	0	2017년08월						
양배추	0	0	2017년08월						
수박	0	0	2017년08월						
양파	0	0	2017년08월						
배추	"298,471"	"119,431"	2016년09월						
양배추	"2,776,840.20"	"1,109,072"	2016년09월						
수박	"117,867"	"340,966"	2016년09월						
양파	"41,721,001.10"	"17,973,203"	2016년09월						
배추	0	0	2017년09월						
양배추	0	0	2017년09월						
수박	0	0	2017년09월						
양파	0	0	2017년09월						
배추	"298,471"	"119,431"	2016년10월						
양배추	"3,316,847.50"	"1,269,397"	2016년10월						
수박	"139,641"	"390,922"	2016년10월						
양파	"42,357,871.10"	"18,157,495"	2016년10월						
배추	0	0	2017년10월						
양배추	0	0	2017년10월						
수박	0	0	2017년10월						
양파	0	0	2017년10월						
배추	"349,246"	"134,592"	2016년11월						
양배추	"4,694,607.50"	"1,729,570"	2016년11월						
수박	"146,899"	"407,766"	2016년11월						
양파	"43,460,901.10"	"18,474,350"	2016년11월						
배추	0	0	2017년11월						
양배추	0	0	2017년11월						
수박	0	0	2017년11월						
양파	0	0	2017년11월						
배추	"380,746"	"155,669"	2016년12월						
양배추	"6,130,449"	"2,473,877"	2016년12월						
수박	"146,899"	"407,766"	2016년12월						
양파	"45,236,301.10"	"18,995,729"	2016년12월						
배추	0	0	2017년12월						
양배추	0	0	2017년12월						
수박	0	0	2017년12월						
양파	0	0	2017년12월						
상추	"602,197"	"475,261"	2014년01월						
딸기	0	0	2014년01월						
상추	"1,202,684"	"925,514"	2015년01월						
딸기	0	0	2015년01월						
상추	"788,317"	"613,709"	2014년02월						
딸기	0	0	2014년02월						
상추	"1,782,248"	"1,312,213"	2015년02월						
딸기	0	58	2015년02월						
상추	"1,000,068"	"746,634"	2014년03월						
딸기	0	0	2014년03월						
상추	"2,249,579"	"1,625,365"	2015년03월						
딸기	0	58	2015년03월						
상추	"1,276,996"	"909,586"	2014년05월						
딸기	0	0	2014년05월						
상추	"2,618,599"	"1,945,858"	2015년05월						
딸기	0	58	2015년05월						
상추	"1,276,967"	"909,546"	2014년04월						
딸기	0	0	2014년04월						
상추	"2,352,440"	"1,705,787"	2015년04월						
딸기	0	58	2015년04월						
상추	"1,345,098"	"980,654"	2014년06월						
딸기	0	0	2014년06월						
상추	"2,739,568"	"2,047,411"	2015년06월						
딸기	0	58	2015년06월						
상추	"3,124,024"	"2,647,109"	2014년07월						
딸기	0	0	2014년07월						
상추	"3,943,818"	"3,031,973"	2015년07월						
딸기	0	58	2015년07월						
상추	"6,603,226"	"5,449,306"	2014년08월						
딸기	0	14	2014년08월						
상추	"7,151,092"	"5,792,170"	2015년08월						
딸기	0	58	2015년08월						
상추	"7,958,214"	"6,611,136"	2014년09월						
딸기	0	14	2014년09월						
상추	"8,101,549"	"6,633,040"	2015년09월						
딸기	0	58	2015년09월						
상추	"7,976,609"	"6,629,384"	2014년10월						
딸기	0	14	2014년10월						
상추	"8,105,065"	"6,644,272"	2015년10월						
딸기	0	58	2015년10월						
상추	"7,976,609"	"6,629,384"	2014년11월						
딸기	0	14	2014년11월						
