,AGCODE,WEIGHT,PRICE,YEAR
3,11101쌀-계,"18,860,803.6","18,548,185",2016년03월
4,112서류-계,"139,646.9","387,180",2016년03월
5,11201감자-계,"139,646.9","387,180",2016년03월
6,11202고구마-계,0,0,2016년03월
7,116과실류-계,"24,933.2","34,640",2016년03월
8,11601사과-계,"24,933.2","34,640",2016년03월
9,121채소류-계,"27,090,862.5","10,768,227",2016년03월
10,12113시금치-계,35,660,2016년03월
11,12121무-계,"416,026","94,729",2016년03월
12,12123당근-계,"23,429,001.5","9,532,741",2016년03월
13,12132오이-계,"3,245,800","1,140,097",2016년03월
14,2축산물-계,"97,032","556,566",2016년03월
15,242난류-계,"97,032","556,566",2016년03월
16,24201조란-계,"97,032","556,566",2016년03월
17,총계,"50,715,654.65","29,887,657",2017년03월
18,1농산물-계,"49,394,828.42","26,587,224",2017년03월
19,111곡류-계,"20,903,039.18","14,852,903",2017년03월
20,11101쌀-계,"20,903,039.18","14,852,903",2017년03월
21,112서류-계,3.7,49,2017년03월
22,11201감자-계,3.7,49,2017년03월
23,11202고구마-계,0,0,2017년03월
24,116과실류-계,0,0,2017년03월
25,11601사과-계,0,0,2017년03월
26,121채소류-계,"28,491,785.54","11,734,272",2017년03월
27,12113시금치-계,0,0,2017년03월
28,12121무-계,"2,691,670","538,590",2017년03월
29,12123당근-계,"22,799,655.44","10,210,631",2017년03월
30,12132오이-계,"3,000,460.1","985,051",2017년03월
31,2축산물-계,"1,320,826.23","3,300,433",2017년03월
32,242난류-계,"1,320,826.23","3,300,433",2017년03월
33,24201조란-계,"1,320,826.23","3,300,433",2017년03월
0,총계,"55,968,981.3","35,118,098",2016년04월
1,1농산물-계,"55,812,386.3","34,281,835",2016년04월
2,111곡류-계,"18,898,684.6","18,625,779",2016년04월
3,11101쌀-계,"18,898,684.6","18,625,779",2016년04월
4,112서류-계,"170,537","472,644",2016년04월
5,11201감자-계,"170,537","472,644",2016년04월
6,11202고구마-계,0,0,2016년04월
7,116과실류-계,"30,873.2","44,527",2016년04월
8,11601사과-계,"30,873.2","44,527",2016년04월
9,121채소류-계,"36,712,291.5","15,138,885",2016년04월
10,12113시금치-계,38,720,2016년04월
11,12121무-계,"535,682","121,777",2016년04월
12,12123당근-계,"31,967,331.5","13,559,641",2016년04월
13,12132오이-계,"4,209,240","1,456,747",2016년04월
14,2축산물-계,"156,595","836,263",2016년04월
15,242난류-계,"156,595","836,263",2016년04월
16,24201조란-계,"156,595","836,263",2016년04월
17,총계,"67,360,211.18","37,520,298",2017년04월
18,1농산물-계,"65,980,485.95","33,936,417",2017년04월
19,111곡류-계,"26,694,907.11","18,200,333",2017년04월
20,11101쌀-계,"26,694,907.11","18,200,333",2017년04월
21,112서류-계,"3,463.7","6,083",2017년04월
22,11201감자-계,3.7,49,2017년04월
23,11202고구마-계,"3,460","6,034",2017년04월
